time,priceUsd
2019-05-18 20:00:00,7920.3351958073467972
2019-05-19 20:00:00,7905.9767153932825568
2019-05-20 20:00:00,7949.5882172269538409
2019-05-21 20:00:00,7894.7608184040427978
2019-05-22 20:00:00,7714.7049293737719809
2019-05-23 20:00:00,7981.2220357252979996
2019-05-24 20:00:00,8039.7327788204416730
2019-05-25 20:00:00,8123.8443544201040089
2019-05-26 20:00:00,8768.9183123878050623
2019-05-27 20:00:00,8716.2390835995104004
2019-05-28 20:00:00,8647.9256393008930596
2019-05-29 20:00:00,8644.9552366806144490
2019-05-30 20:00:00,8374.4361089062026262
2019-05-31 20:00:00,8564.0180449298691694
2019-06-01 20:00:00,8686.7825960648771046
2019-06-02 20:00:00,8561.5391296141344474
2019-06-03 20:00:00,7891.0746753499820030
2019-06-04 20:00:00,7810.7391237237108558
2019-06-05 20:00:00,7792.6159249330763826
2019-06-06 20:00:00,7969.9392667316889010
2019-06-07 20:00:00,7978.4359334759201880
2019-06-08 20:00:00,7842.3303776983834677
2019-06-09 20:00:00,7846.3866836024775580
2019-06-10 20:00:00,7919.7888480333982228
2019-06-11 20:00:00,8048.1915392145619984
2019-06-12 20:00:00,8178.2210795522036964
2019-06-13 20:00:00,8367.0996266995735441
2019-06-14 20:00:00,8729.9481687679151610
2019-06-15 20:00:00,9082.8190341011343581
2019-06-16 20:00:00,9221.7764020927664955
2019-06-17 20:00:00,9159.3959893388359547
2019-06-18 20:00:00,9155.2843386678357774
2019-06-19 20:00:00,9361.0762867068543122
2019-06-20 20:00:00,9801.6998899927793192
2019-06-21 20:00:00,10719.6848102141820684
2019-06-22 20:00:00,10745.7116113220988348
2019-06-23 20:00:00,10844.7245005954062974
2019-06-24 20:00:00,11312.9454281937745028
2019-06-25 20:00:00,12669.3188157600507872
2019-06-26 20:00:00,11844.5705543394265356
2019-06-27 20:00:00,11722.6945286481035831
2019-06-28 20:00:00,11891.9902603726622541
2019-06-29 20:00:00,11585.4788423196908478
2019-06-30 20:00:00,10730.8911507421363806
2019-07-01 20:00:00,10331.6341326715371115
2019-07-02 20:00:00,11353.9099351147905371
2019-07-03 20:00:00,11769.5078602821691873
2019-07-04 20:00:00,11163.2579022320827456
2019-07-05 20:00:00,11423.5057764161149321
2019-07-06 20:00:00,11324.5430431665528789
2019-07-07 20:00:00,11787.7094263232078051
2019-07-08 20:00:00,12501.2695815132149269
2019-07-09 20:00:00,12649.3146359450127611
2019-07-10 20:00:00,11605.4452355585227954
2019-07-11 20:00:00,11603.6852763281520090
2019-07-12 20:00:00,11463.9424797325766828
2019-07-13 20:00:00,10895.8599042977258370
2019-07-14 20:00:00,10450.2762426923047219
2019-07-15 20:00:00,10384.7300426537176345
2019-07-16 20:00:00,9596.1458322208468691
2019-07-17 20:00:00,10067.8049747830851174
2019-07-18 20:00:00,10487.4592613145577358
2019-07-19 20:00:00,10689.0656592893457750
2019-07-20 20:00:00,10587.5608352864257851
2019-07-21 20:00:00,10468.2066641144659385
2019-07-22 20:00:00,10095.3113430245173200
2019-07-23 20:00:00,9727.5162987235858942
2019-07-24 20:00:00,10036.5541298176977241
2019-07-25 20:00:00,9793.5348884379823824
2019-07-26 20:00:00,9749.3149483800919540
2019-07-27 20:00:00,9532.7237042602816574
2019-07-28 20:00:00,9562.8791946216642317
2019-07-29 20:00:00,9567.0017607429627628
2019-07-30 20:00:00,9871.3187728767420073
2019-07-31 20:00:00,10090.4913714269312583
2019-08-01 20:00:00,10474.4089716723178068
2019-08-02 20:00:00,10776.4933954161706428
2019-08-03 20:00:00,10807.4224822371216368
2019-08-04 20:00:00,11660.7319960263329155
2019-08-05 20:00:00,11753.2496360486600451
2019-08-06 20:00:00,11702.8034046852528883
2019-08-07 20:00:00,11799.4335568825568299
2019-08-08 20:00:00,11819.4522311954105613
2019-08-09 20:00:00,11585.8484447945447472
2019-08-10 20:00:00,11377.1664882493293868
2019-08-11 20:00:00,11394.6225138869932343
2019-08-12 20:00:00,11146.3404441147997297
2019-08-13 20:00:00,10452.5481692320469499
2019-08-14 20:00:00,10040.3549884837026578
2019-08-15 20:00:00,10250.7246875711059188
2019-08-16 20:00:00,10326.4001420389685280
2019-08-17 20:00:00,10327.0755509885728133
2019-08-18 20:00:00,10627.3444014501841647
2019-08-19 20:00:00,10761.9039900391191245
2019-08-20 20:00:00,10213.4516796856326822
2019-08-21 20:00:00,10065.4769507210445584
2019-08-22 20:00:00,10274.1854154170397764
2019-08-23 20:00:00,10179.6173453762075661
2019-08-24 20:00:00,10128.7636063346117874
2019-08-25 20:00:00,10358.6220382130021632
2019-08-26 20:00:00,10199.5921734302680369
2019-08-27 20:00:00,10074.3724152886728474
2019-08-28 20:00:00,9546.7027428830962692
2019-08-29 20:00:00,9567.7074921305186331
2019-08-30 20:00:00,9625.9481675363395959
2019-08-31 20:00:00,9648.6550266896698847
2019-09-01 20:00:00,9947.6788207019578869
2019-09-02 20:00:00,10513.5386716031343967
2019-09-03 20:00:00,10563.4622545869587316
2019-09-04 20:00:00,10572.4789089539354141
2019-09-05 20:00:00,10664.3626315439329827
2019-09-06 20:00:00,10447.9519144891088475
2019-09-07 20:00:00,10496.8219845241068818
2019-09-08 20:00:00,10328.9537520134018350
2019-09-09 20:00:00,10254.5668376469541296
2019-09-10 20:00:00,10095.4233181312695758
2019-09-11 20:00:00,10248.4587735466018255
2019-09-12 20:00:00,10331.7278987166410327
2019-09-13 20:00:00,10363.7754359439251523
2019-09-14 20:00:00,10346.9386016283072862
2019-09-15 20:00:00,10282.4262810828046462
2019-09-16 20:00:00,10237.2288671400414881
2019-09-17 20:00:00,10215.5012430150048160
2019-09-18 20:00:00,10012.9364167443732947
2019-09-19 20:00:00,10197.7967069780923473
2019-09-20 20:00:00,10081.3500563935175931
2019-09-21 20:00:00,10034.9177354230181378
2019-09-22 20:00:00,9917.2933638132529170
2019-09-23 20:00:00,9459.9780858962221617
2019-09-24 20:00:00,8476.4826244953921721
2019-09-25 20:00:00,8285.4019263116372428
2019-09-26 20:00:00,8070.4601810535652782
2019-09-27 20:00:00,8189.1395336881663247
2019-09-28 20:00:00,8128.0126610798821608
2019-09-29 20:00:00,8115.6322707914805915
2019-09-30 20:00:00,8392.8002087954075812
2019-10-01 20:00:00,8302.3617481284488736
2019-10-02 20:00:00,8297.2321254701397393
2019-10-03 20:00:00,8193.9670180719726909
2019-10-04 20:00:00,8163.5156635283243295
2019-10-05 20:00:00,8054.5144288418952186
2019-10-06 20:00:00,8088.1919083012879873
2019-10-07 20:00:00,8234.9979559485173841
2019-10-08 20:00:00,8353.1318639029777982
2019-10-09 20:00:00,8564.1495490173149235
2019-10-10 20:00:00,8416.6020563302647356
2019-10-11 20:00:00,8365.9233448591407007
2019-10-12 20:00:00,8408.4460041605313683
2019-10-13 20:00:00,8332.1543496316712624
2019-10-14 20:00:00,8300.6098398215823623
2019-10-15 20:00:00,8106.3160807173216108
2019-10-16 20:00:00,8070.0692095064411492
2019-10-17 20:00:00,8010.8949974499093798
2019-10-18 20:00:00,8018.9668535982687631
